0,0.375
1,0.25
2,0.375
3,0.5
4,0.5
5,0.5
6,0.5
7,0.375
8,0.5
9,0.625
10,0.5
11,0.5
12,0.375
13,0.375
14,0.5
15,0.5
16,0.375
17,0.375
18,0.375
19,0.375
20,0.375
21,0.375
22,0.375
23,0.375
24,0.375
25,0.375
26,0.5
27,0.375
28,0.375
29,0.375
30,0.25
31,0.375
32,0.375
33,0.375
34,0.25
35,0.25
36,0.25
37,0.375
38,0.5
39,0.375
40,0.375
41,0.25
42,0.375
43,0.5
44,0.5
45,0.375
46,0.25
47,0.25
48,0.375
49,0.5
50,0.375
51,0.375
52,0.375
53,0.375
54,0.5
55,0.625
56,0.625
57,0.5
58,0.5
59,0.5
60,0.5
61,0.625
62,0.625
63,0.5
64,0.375
65,0.5
66,0.625
67,0.5
68,0.5
69,0.375
70,0.25
71,0.375
72,0.375
73,0.25
74,0.125
75,0.125
76,0.125
77,0.25
78,0.25
79,0.125
80,0.125
81,0.125
82,0.125
83,0.25
84,0.375
85,0.375
86,0.5
87,0.5
88,0.625
89,0.75
90,0.75
91,0.75
92,0.625
93,0.5
94,0.375
95,0.5
96,0.5
97,0.5
98,0.5
99,0.5
100,0.625
101,0.625
102,0.75
103,0.625
104,0.625
105,0.5
106,0.625
107,0.5
108,0.5
109,0.625
110,0.625
111,0.625
112,0.5
113,0.625
114,0.625
115,0.625
116,0.625
117,0.5
118,0.375
119,0.5
120,0.625
121,0.5
122,0.5
123,0.5
124,0.5
125,0.5
126,0.5
127,0.5
128,0.375
129,0.5
130,0.5
131,0.625
132,0.5
133,0.5
134,0.625
135,0.5
136,0.625
137,0.5
138,0.5
139,0.375
140,0.375
141,0.375
142,0.25
143,0.375
144,0.25
145,0.375
146,0.375
147,0.5
148,0.5
149,0.625
150,0.625
151,0.5
152,0.5
153,0.375
154,0.25
155,0.125
156,0.125
157,0.125
158,0.125
159,0.25
160,0.25
161,0.25
162,0.375
163,0.5
164,0.625
165,0.5
166,0.5
167,0.5
168,0.5
169,0.5
170,0.5
171,0.5
172,0.5
173,0.5
174,0.5
175,0.375
176,0.375
177,0.5
178,0.375
179,0.375
